Volcano_Number,Volcano_Name,Eruption_Number,Eruption_Category,Area_of_Activity,VEI,VEI_Modifier,Start_Year_Modifier,Start_Year,Start_Year_Uncertainty,Start_Month,Start_Day_Modifier,Start_Day,Start_Day_Uncertainty,Evidence_Method_(dating),End_Year_Modifier,End_Year,End_Year_Uncertainty,End_Month,End_Day_Modifier,End_Day,End_Day_Uncertainty,Latitude,Longitude,cluster,startdate,type
342090,Fuego,10733,Confirmed Eruption,,2,,,2002,,1,,4,,Historical Observations,>,2016,,5,,26,,14.473,-90.88,14,2002-01-04,V
233020,Fournaise  Piton de la,14382,Confirmed Eruption,NE part of l'Enclos Fouqu_ caldera,1,,,2002,,1,,5,,Historical Observations,,2002,,1,,16,,-21.244,55.708,2,2002-01-05,V
251020,Manam,14930,Confirmed Eruption,South Crater,3,?,,2002,,1,,13,,Historical Observations,,2002,,5,,21,,-4.08,145.037,11,2002-01-13,V
343100,San Miguel,10866,Confirmed Eruption,,1,,,2002,,1,,16,,Historical Observations,,2002,,1,,16,,13.434,-88.269,14,2002-01-16,V
223030,Nyiragongo,14106,Confirmed Eruption,South flank (2800-1570 m)  summit crater,1,,,2002,,1,,17,,Historical Observations,,2002,,2,>,3,,-1.52,29.25,9,2002-01-17,V
290360,Chikurachki,18855,Confirmed Eruption,SSE part of summit crater,2,,,2002,,1,,25,,Historical Observations,,2002,,4,?,22,,50.324,155.461,7,2002-01-25,V
266100,Lokon-Empung,16461,Confirmed Eruption,Tompaluan,2,,,2002,,2,,9,,Historical Observations,,2002,,5,?,0,,1.358,124.792,6,2002-02-09,V
257060,Epi,15331,Confirmed Eruption,,1,?,,2002,,3,,1,,Historical Observations,,2002,,3,,0,,-16.68,168.37,11,2002-03-01,V
352020,Guagua Pichincha,11498,Confirmed Eruption,,1,?,,2002,,4,,1,,Historical Observations,,2002,,4,,0,,-0.171,-78.598,14,2002-04-01,V
256010,Tinakula,15207,Confirmed Eruption,Upper NW flank,1,,,2002,,4,,1,,Historical Observations,,,,,,,,-10.38,165.8,11,2002-04-01,V
300260,Klyuchevskoy,19479,Confirmed Eruption,,2,,,2002,,4,,9,,Historical Observations,,2002,,6,<,9,,56.056,160.642,7,2002-04-09,V
